County,2020,2021,2022,State,lbs per capita (state),lbs generated in county (2022),tons generated in county (2022),StateFIPS,CountyFIPS_3,FIPS,StateAbbr,STATE_COUNTY,CountyCBSA
Autauga,58902,59210,59759,Alabama,23.6,1410312.4,705.1562000000001,1.0,1.0,1001,AL,AL | AUTAUGA,33860.0
Baldwin,233219,239361,246435,Alabama,23.6,5815866.0,2907.933,1.0,3.0,1003,AL,AL | BALDWIN,19300.0
Barbour,24960,24539,24706,Alabama,23.6,583061.6000000001,291.5308000000001,1.0,5.0,1005,AL,AL | BARBOUR,21640.0
Bibb,22183,22370,22005,Alabama,23.6,519318.0000000001,259.659,1.0,7.0,1007,AL,AL | BIBB,13820.0
Blount,59102,59085,59512,Alabama,23.6,1404483.2,702.2416000000001,1.0,9.0,1009,AL,AL | BLOUNT,13820.0
Bullock,10296,10280,10202,Alabama,23.6,240767.2,120.3836,1.0,11.0,1011,AL,AL | BULLOCK,
Butler,19031,18855,18650,Alabama,23.6,440140.0,220.07,1.0,13.0,1013,AL,AL | BUTLER,
Calhoun,116239,115677,115788,Alabama,23.6,2732596.8,1366.2984,1.0,15.0,1015,AL,AL | CALHOUN,11500.0
Chambers,34645,34446,34088,Alabama,23.6,804476.8,402.2384,1.0,17.0,1017,AL,AL | CHAMBERS,29300.0
Cherokee,24972,25026,25302,Alabama,23.6,597127.2000000001,298.5636000000001,1.0,19.0,1019,AL,AL | CHEROKEE,
Chilton,45051,45259,45884,Alabama,23.6,1082862.4,541.4312000000001,1.0,21.0,1021,AL,AL | CHILTON,13820.0
Choctaw,12619,12549,12439,Alabama,23.6,293560.4,146.7802,1.0,23.0,1023,AL,AL | CHOCTAW,
Clarke,22981,22715,22515,Alabama,23.6,531354.0,265.677,1.0,25.0,1025,AL,AL | CLARKE,
Clay,14211,14190,14198,Alabama,23.6,335072.8,167.5364,1.0,27.0,1027,AL,AL | CLAY,
Cleburne,15063,15148,15346,Alabama,23.6,362165.6,181.0828,1.0,29.0,1029,AL,AL | CLEBURNE,
Coffee,53547,54171,54805,Alabama,23.6,1293398.0,646.6990000000001,1.0,31.0,1031,AL,AL | COFFEE,21460.0
Colbert,57299,57619,58033,Alabama,23.6,1369578.8,684.7894,1.0,33.0,1033,AL,AL | COLBERT,22520.0
Conecuh,11553,11320,11206,Alabama,23.6,264461.6,132.2308,1.0,35.0,1035,AL,AL | CONECUH,
Coosa,10341,10366,10166,Alabama,23.6,239917.6,119.9588,1.0,37.0,1037,AL,AL | COOSA,45180.0
Covington,37507,37542,37602,Alabama,23.6,887407.2000000001,443.7036000000001,1.0,39.0,1039,AL,AL | COVINGTON,
